STATE,ACHIEVE,AFFECT,ANGER,ANXIETY,ARTICLE,ASSENT,BODY,CAUSE,CERTAIN,COGNITIVE PROCESSES,COMMUNICATION VERBS,DEATH,DISCREPANCIES,DOWN,EATING,EXCLUSIVE,FAMILY,FEEL,FILLERS,FRIENDS,FUTURE,GROOM,HEAR,HOME,HUMANS,I,INCLUSIVE,INHIBITION,INSIGHT,JOB,LEISURE,METAPHYSICAL,MONEY,MOTION,MUSIC,NEGATIONS,NEGATIVE EMOTION,NONFLUENCIES,NUMBER,OCCUPATION,OPTIMISM,OTHER,OTHER REFERENCES,PAST,PHYSICAL,POSITIVE EMOTION,POSITIVE FEELING,PREPS,PRESENT,PRONOUN,RELIGION,SAD,SCHOOL,SEE,SELF,SENSES,SEXUAL,SIMILARITIES,SLEEP,SOCIAL,SPACE,SPORTS,SWEAR,TENTATIVENESS,TIME,TV,UP,WE,YOU
VT,0.008941961987,0.0340566779,0.002878997298,0.001677565163,0.06433414557,0.0009560934923,0.00566628923,0.006296208634,0.0080392995,0.04450955849,0.01043473854,0.0008521403328,0.01328702034,0.002783158302,0.002714187907,0.02539871165,0.002774202102,0.002686017979,0.0004050192688,0.0013558309,0.008202042075,0.0009159819639,0.004998325114,0.003999364339,0.005092709684,0.03033579779,0.05835438933,0.002980271252,0.01337658234,0.005920966816,0.009307099373,0.003380467952,0.003680462379,0.009727045642,0.001535490742,0.006648638933,0.009075309854,0.00005802392852,0.007915596771,0.01965043875,0.005761975128,0.01565918857,0.03591214228,0.03023628446,0.01097532559,0.02486011487,0.005511967014,0.1162424439,0.06280255881,0.0783085734,0.002528327619,0.002272501802,0.006576223846,0.005439628475,0.04128731673,0.0141044841,0.001863502,0.00208687116,0.0009449173794,0.05987235042,0.02411453036,0.002416336844,0.0004580675307,0.01630097303,0.03562500804,0.001391349505,0.01217729357,0.01095151894,0.008058130484
RI,0.008581199912,0.03428318459,0.00326875319,0.001666442091,0.06211945221,0.001045720667,0.005774768099,0.006406791297,0.007893631565,0.04490141963,0.01095080505,0.001262819847,0.01336780754,0.002577768028,0.002416301608,0.02492251276,0.00290911149,0.002642950348,0.0004825594364,0.001289365872,0.008302072395,0.0008675206135,0.005485390136,0.003715392262,0.005539358294,0.02996240277,0.05525217936,0.002847345984,0.01350631997,0.006100679701,0.01027112166,0.003980677297,0.003902002937,0.008839738927,0.002644702561,0.006920189681,0.009720313527,0.00009733542734,0.007787885515,0.02058131766,0.005734116759,0.01643969961,0.03603163025,0.03042393565,0.01114687767,0.02446755068,0.005681112319,0.1113141439,0.0625497957,0.07754313116,0.00271785745,0.002286112188,0.007607407585,0.005632926464,0.03814015566,0.01465261766,0.002373021949,0.002101078505,0.0008267816632,0.06087520582,0.02233791111,0.002041328044,0.0007529258889,0.01570771266,0.03387290394,0.001945394387,0.01132174852,0.008177752889,0.01010974285
HI,0.008110317487,0.03533385707,0.002855494966,0.001702932817,0.06069894129,0.001124908352,0.006316848544,0.006863011027,0.008250329862,0.04639621735,0.01152279599,0.0008961032434,0.01413788327,0.002514271163,0.002884471335,0.02597593254,0.003209223094,0.002935871327,0.0005403311386,0.001377640006,0.008404830421,0.001012670008,0.005699146892,0.003830471646,0.005548072999,0.03303179874,0.05620357619,0.002943806764,0.01399624774,0.005727642326,0.008379881887,0.005196629315,0.004183298021,0.009800325161,0.001352150419,0.007139669227,0.009247309346,0.0001333995101,0.007327354342,0.01783116804,0.005730107121,0.01726582825,0.03927770928,0.03242395627,0.01240825853,0.02594455149,0.006440809694,0.1128909736,0.06443070091,0.08478281309,0.004300526071,0.002259435415,0.005517774057,0.00570786385,0.04343287257,0.01544873335,0.002416460886,0.002218255305,0.0009705881434,0.06481767371,0.02276875342,0.001775433858,0.0004714371149,0.01660905058,0.03340476429,0.001388641407,0.01154552019,0.01040107383,0.01019180673
NY,0.008588786901,0.03403137966,0.003157286971,0.001679101757,0.06245398418,0.0009952336004,0.006027078589,0.006528927357,0.007803809018,0.04394001351,0.01109839874,0.0009865110713,0.01309695193,0.002468087827,0.002548181928,0.02483782412,0.002709135961,0.002625162971,0.000511068591,0.001300213794,0.008142714579,0.0009457429453,0.00538308343,0.003483591113,0.005583542464,0.02644295843,0.0550271933,0.003033222174,0.01302962833,0.006481913224,0.009527358874,0.004212643363,0.004463169912,0.008518340296,0.001908234738,0.007004668214,0.009616414204,0.0001009605384,0.007691927913,0.01940209719,0.005922865751,0.01746886848,0.03610052865,0.02813513901,0.01144298339,0.024266583,0.005500325359,0.1116957736,0.0605415125,0.07390669464,0.003226132291,0.002364054014,0.00597422623,0.005508480974,0.03403512925,0.01440167121,0.002326697322,0.002030847438,0.0008122395164,0.06131921996,0.02141846344,0.002247170136,0.0005840712855,0.01561669862,0.03233811498,0.001942249617,0.01112495422,0.007592170825,0.009785484069
GA,0.008524739303,0.03642256839,0.002991704499,0.001743424863,0.05975318245,0.001097689497,0.00624529291,0.006808099901,0.008700351251,0.04776137939,0.0123137981,0.001012611672,0.01478744827,0.002493068711,0.002598924558,0.02665241538,0.003762457053,0.002765148735,0.0004026086246,0.001382188569,0.009326851791,0.001062159263,0.006324859324,0.004233407183,0.006124041853,0.03272694638,0.05616398581,0.00298622983,0.01431631443,0.005835133651,0.008995028064,0.007218828673,0.004018443756,0.009208135983,0.001447149741,0.007639000329,0.009802725448,0.00008682310564,0.007449775194,0.01843763787,0.006130655547,0.01994962019,0.04407762529,0.03161490885,0.01233746043,0.02650404818,0.006777327853,0.1131054848,0.06822238509,0.08912430374,0.006206217001,0.002517778207,0.005653514264,0.005716472957,0.0435261167,0.01580935586,0.002753850341,0.002149707762,0.0009716251399,0.07194207359,0.02183850957,0.00199693143,0.0004848021445,0.01657129016,0.03465441566,0.001352739259,0.01130368494,0.01079917031,0.01186880672
NV,0.008392509382,0.03646809847,0.00303574918,0.001769269127,0.05871785235,0.001095167655,0.006458580766,0.006634703037,0.008398443058,0.04639482253,0.01114515033,0.001018299589,0.01466157216,0.002607535615,0.002782309323,0.02627876433,0.003959199869,0.002956498653,0.0004344169528,0.001381737199,0.008583825458,0.001327839649,0.005617302489,0.004604082485,0.006080308968,0.03418349864,0.05530189843,0.002887272442,0.01375969847,0.005740336347,0.009594348336,0.004922433154,0.004203559405,0.009887390981,0.001438916252,0.007187568735,0.009889998201,0.00009075826032,0.007391920915,0.01723179754,0.005936327439,0.01964446587,0.04221872885,0.03286649244,0.01305305169,0.02646189913,0.006598022135,0.1104568485,0.06667135966,0.08905304791,0.003904133565,0.002483333003,0.004746265931,0.005665715885,0.04443351809,0.01522657492,0.002831082335,0.002179861475,0.0010659488,0.06892777454,0.02280050683,0.002114860759,0.0006553564523,0.01695444317,0.03500423381,0.00150117489,0.01153137865,0.01025001945,0.01082239436
TN,0.008322699102,0.03677612575,0.002836127447,0.001782348767,0.05934373256,0.001074275119,0.006535839717,0.006610603805,0.008761374296,0.04752292014,0.01199740431,0.0009873814391,0.01497322071,0.002460180235,0.002767416469,0.0269948141,0.003845477703,0.002812078605,0.0003641681875,0.001419232278,0.009312978555,0.0009916349759,0.006240289024,0.004256808732,0.006049487517,0.03441284202,0.05662104834,0.002879036752,0.01428181065,0.005034761912,0.009236461635,0.008429738654,0.003548828569,0.009482465636,0.001712656202,0.00762252488,0.009927661362,0.00007558207664,0.007490501642,0.01725162068,0.006007676652,0.02029939664,0.0447390738,0.03237472014,0.01286070868,0.02673728815,0.006963974553,0.1126774981,0.06856140385,0.09163838337,0.007442357215,0.002641189259,0.005457451287,0.005683286045,0.04609553135,0.01582287637,0.00279445681,0.00218447159,0.001044103053,0.07228806297,0.0220541909,0.002013745842,0.0004290463089,0.01681240795,0.03539648408,0.001275780581,0.01125263807,0.01168268933,0.01131333277
CA,0.008167798715,0.03421029801,0.003109479596,0.001641372449,0.06102445749,0.001004767968,0.005913964021,0.006365363167,0.007711156142,0.04361816723,0.01090090512,0.001033449514,0.01321378829,0.002485519265,0.00253358651,0.02461475156,0.003018116625,0.002593601278,0.0005225973954,0.001258924369,0.008062420812,0.0009511726528,0.005381246811,0.003729559792,0.005401306665,0.02670886397,0.05453815842,0.002952476408,0.01294085293,0.005857432386,0.008954912025,0.005050438997,0.004218232214,0.00878516731,0.00164445109,0.006878387563,0.009479314658,0.00008486112192,0.007326715559,0.01788357695,0.005742818561,0.01801493229,0.03775623299,0.02837323259,0.01141903811,0.02459936584,0.00582825646,0.1098868907,0.06092323687,0.0758139031,0.004016989483,0.002288725956,0.00534267766,0.005516197643,0.03543884046,0.0144068702,0.002319999253,0.002051745524,0.0008954574948,0.06239204065,0.02178137585,0.001869723699,0.0005668519199,0.01566646123,0.03166329582,0.00174143951,0.01104823793,0.008729976494,0.009802429615
OK,0.008639293492,0.03765411141,0.003050435519,0.001775548712,0.05984173529,0.001211850023,0.006481626839,0.006825037318,0.008886786654,0.04964483539,0.01208993314,0.0009656054882,0.01560027989,0.00252937936,0.002705738576,0.02791572277,0.004259107217,0.002946269692,0.0003317566191,0.001400430656,0.009286574569,0.00103288004,0.006286084161,0.004494000589,0.006328688854,0.03634407384,0.05684631507,0.003047332869,0.01498996576,0.005562371928,0.008880543515,0.007565776293,0.003896891647,0.009617044723,0.001294713503,0.007817582896,0.01022966692,0.0000709825978,0.007566078991,0.01796067829,0.006056109625,0.02065446031,0.04529696209,0.03391367661,0.01279124574,0.02731982462,0.007124518801,0.1149601765,0.07099039226,0.09456270652,0.006600170805,0.002664647371,0.005410606896,0.005837864622,0.04791276163,0.01613242235,0.002862762979,0.00227102692,0.001082749477,0.07369987672,0.02267424818,0.001957621346,0.0004860189066,0.01797093217,0.03636136544,0.001191077397,0.01157027695,0.01156868779,0.01156611486
ME,0.008397472042,0.03379036065,0.002815191702,0.001631732356,0.06373283797,0.001053255567,0.006113222416,0.006386702019,0.008175143923,0.04634768842,0.01122888755,0.0009166449359,0.0142905364,0.002799122902,0.002786515869,0.02641876005,0.003217893389,0.002800827951,0.0003615738268,0.001256569801,0.008750778962,0.0009645413259,0.005670322896,0.004110202618,0.005395654924,0.03142277027,0.05722373406,0.003022846061,0.01383611488,0.005801508369,0.008782038203,0.004166417583,0.004021488377,0.009732267447,0.001499823527,0.007054978081,0.009067918166,0.00007698556758,0.007841729247,0.0186322124,0.005628885026,0.01873725379,0.03921758483,0.03210241333,0.01175001267,0.02461435268,0.005925821977,0.1157829352,0.06474413898,0.08286261481,0.003249772647,0.002297580013,0.006164528905,0.005687683399,0.04146184329,0.015149623,0.002128211764,0.002127230069,0.0009414456557,0.0643266602,0.02380667591,0.001907795367,0.0005453058257,0.01656899919,0.03584969875,0.00127351696,0.01189995369,0.01003907302,0.009140666944
